episode,total_reward,avg_latency,deadline_violation_rate,local_actions,edge_actions,cloud_actions,epsilon
1,123.3921,57.35,0.0,25,41,34,0.995
2,101.851,68.58,0.0,26,40,34,0.99
3,67.2196,136.72,0.03,35,29,36,0.9851
4,52.8274,141.19,0.1,31,42,27,0.9801
5,100.1986,104.17,0.02,37,32,31,0.9752
6,122.3888,53.56,0.0,33,35,32,0.9704
7,85.5649,105.2,0.02,28,37,35,0.9655
8,121.7061,59.05,0.0,37,24,39,0.9607
9,122.5763,61.36,0.0,28,36,36,0.9559
10,104.3632,92.19,0.01,31,40,29,0.9511
11,78.2121,124.95,0.03,37,30,33,0.9464
12,90.742,97.28,0.03,29,43,28,0.9416
13,91.4892,121.28,0.02,22,36,42,0.9369
14,120.6777,57.2,0.0,31,31,38,0.9322
15,56.4692,137.5,0.05,28,35,37,0.9276
16,112.9555,71.41,0.01,42,38,20,0.9229
17,123.0218,56.48,0.0,31,32,37,0.9183
18,103.4973,77.22,0.0,29,28,43,0.9137
19,125.0425,53.52,0.0,30,36,34,0.9092
20,120.5361,63.88,0.0,24,37,39,0.9046
21,116.0455,65.5,0.0,37,27,36,0.9001
22,111.6916,67.39,0.0,34,27,39,0.8956
23,95.1348,104.93,0.01,34,35,31,0.8911
24,121.3856,57.13,0.0,31,33,36,0.8867
25,118.0767,60.11,0.0,30,33,37,0.8822
26,120.2173,60.25,0.0,32,33,35,0.8778
27,123.0885,57.98,0.0,37,24,39,0.8734
28,102.4024,72.43,0.0,36,25,39,0.8691
29,92.2757,107.37,0.01,29,41,30,0.8647
30,110.6655,72.08,0.0,29,26,45,0.8604
31,110.0834,66.92,0.0,30,34,36,0.8561
32,73.8053,125.21,0.06,30,28,42,0.8518
33,88.0608,110.8,0.04,30,42,28,0.8475
34,83.9887,132.94,0.04,22,37,41,0.8433
35,95.5805,94.7,0.03,33,38,29,0.8391
36,122.2848,66.37,0.0,30,27,43,0.8349
37,99.9946,104.4,0.01,27,33,40,0.8307
38,83.242,118.8,0.05,28,37,35,0.8266
39,103.165,93.55,0.02,38,32,30,0.8224
40,75.4937,112.85,0.04,36,34,30,0.8183
41,97.2119,109.2,0.02,28,36,36,0.8142
42,80.8729,131.36,0.04,34,41,25,0.8102
43,121.4528,64.21,0.0,29,29,42,0.8061
44,122.9026,67.93,0.0,21,39,40,0.8021
45,124.61,58.26,0.0,33,26,41,0.7981
46,123.4002,63.23,0.0,31,23,46,0.7941
47,107.6067,71.39,0.01,32,40,28,0.7901
48,110.2672,68.27,0.0,31,27,42,0.7862
49,93.3435,116.63,0.01,36,43,21,0.7822
50,66.0434,131.88,0.05,35,27,38,0.7783
